time,isFallen,recoveryState,recoveryTimer,up_z,isProne,r_hip_tgt,r_knee_tgt,r_ankle_tgt,r_arm_tgt
0.362,1,0,0.302,-0.448165,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.303,-0.447605,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.304,-0.447038,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.305,-0.446462,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.306,-0.445878,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.307,-0.445287,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.308,-0.444688,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.309,-0.444081,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.31,-0.443466,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.311,-0.442843,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.312,-0.442212,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.313,-0.441574,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.314,-0.440927,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.315,-0.440273,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.316,-0.439611,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.317,-0.43894,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.318,-0.438262,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.319,-0.437576,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.32,-0.436882,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.321,-0.43618,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.322,-0.43547,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.323,-0.434752,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.324,-0.434026,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.325,-0.433292,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.326,-0.43255,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.327,-0.4318,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.328,-0.431042,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.329,-0.430276,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.33,-0.429502,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.331,-0.42872,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.332,-0.42793,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.333,-0.427132,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.334,-0.426326,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.335,-0.425511,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.336,-0.424689,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.337,-0.423858,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.338,-0.423019,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.339,-0.422172,0,-0.04,0.04,0,-0.0984229
